source_platform,original_job_id,job_title,original_job_title,company_name,min_salary,max_salary,is_negotiable,experience_years,job_url,skill_name,raw_job_description
Yourator,42207,後端工程師,後端工程師,SAT. KNOWLEDGE 知識衛星,60000,80000,0,0,https://www.yourator.co/companies/Sat-Knowledge/jobs/42207,,"【職務內容】
1. 課程平台與內部資料庫現有功能維護
2. 後台及課程平台新功能開發"
Yourator,43033,全端工程師,資深全端工程師,大數據股份有限公司,40000,40000,1,0,https://www.yourator.co/companies/BIGDATA/jobs/43033,"AWS,Agile,Azure,CI/CD,CSS,Docker,GCP,Git,JavaScript,Kubernetes,MySQL,NoSQL,PostgreSQL,Python,React,SEO,TypeScript,Vue","【工作內容】
- 設計、開發與維護公司數據分析產品系統：
負責數據分析系統（如 KEYPO、KEYDERS 等）的全端架構設計、開發與維護，包含前端用戶界面、後端服務及 API 的開發與優化。確保系統在大規模數據處理及高並發用戶操作下，具備高效能、機密性、完整性和可用性，並實施進階安全措施（如身份驗證、數據加密等）。
- 雲端架構管理與優化：
主導雲端環境（如 AWS、GCP、Azure）的部署、配置與效能優化，包含容器化技術（如 Docker、Kubernetes）的應用與成本控制。分析系統運行數據，提出並實行架構改進方案，提升系統可靠性和可擴展性。
- 跨部門協作與技術領導：
與產品經理、設計師及前端、後端工程師密切合作，參與產品需求分析、技術方案設計與技術選型，確保系統符合業務目標。指導初階工程師，分享最佳實踐，提升團隊技術能力。
- 技術創新與流程優化：
主動探索新技術（如 AI 工具、微服務架構、前端框架等），應用於產品開發，提升用戶體驗與系統性能。推動敏捷開發流程，參與程式碼審查，確保高品質交付。
- 主管交辦事項：
靈活處理主管分派的任務，包含系統異常排查、資料分析優化、跨系統整合以及新技術的試驗與導入。
【必要技能】
後端開發：
- 精通 Python 程式設計，熟悉主流 Python 網頁框架（如 Django、Flask、FastAPI，Django 尤佳）。
- 深入理解 HTTP Methods、RESTful 架構及 GraphQL 設計，具備高效能 API 開發經驗。
- 熟悉資料庫設計與優化（如 MySQL、PostgreSQL、MongoDB），具備處理大規模數據的能力。
前端開發：
- 精通現代前端框架（如 React、Vue.js、Angular），熟悉 TypeScript、JavaScript（ES6+）及 CSS 預處理器（如 SASS、LESS）。
- 具備響應式設計與跨瀏覽器相容性開發經驗，能打造流暢的用戶界面與優化前端性能。
軟體工程實踐：
- 熟悉軟體開發生命週期（SDLC），具備編寫單元測試、整合測試及端到端測試的能力。
- 熟悉 CI/CD 流程，具備自動化部署與監控經驗。
【加分條件】
- 熟悉容器化技術（如 Docker、Kubernetes）與微服務架構。
- 具備 DevOps 經驗，熟悉 Git 工作流與分支管理（如 GitFlow）。
- 具備雲端平台（AWS、GCP、Azure）的高級認證或進階使用經驗。
- 熟悉資料分析、Text Mining 或機器學習相關技術，並能應用於產品開發。
- 有前端性能優化（如 Lazy Loading、Code Splitting）或 SEO 最佳化經驗。
- 具備技術領導力，曾帶領小組完成專案或負責跨團隊協作。
- 擅長使用 Cursor、Claude Code 等 AI IDE 開發工具為佳。
- 主動積極，善於提出創新建議，具備良好的問題解決能力與責任感。"
Yourator,42211,前端工程師,前端工程師,SAT. KNOWLEDGE 知識衛星,50000,75000,0,1,https://www.yourator.co/companies/Sat-Knowledge/jobs/42211,,"【職務內容】
1. 維護現有平台
2. 開發課程學習新功能
3. 平台現有視覺最佳化"
Yourator,41076,網站系統工程師,系統工程師,睿鼎數位股份有限公司 12CM Taiwan,40000,40000,1,0,https://www.yourator.co/companies/12cm/jobs/41076,,"• 協助開發團隊需求、建置開發需要的工具與服務。
• 規劃、維護公司線上系統與基礎架構。
• 公司內部系統與日常 MIS 作業。"
Yourator,43691,前端工程師,Forward Deployed Engineer (FDE) 前端部署工程師,OakMega 大橡科技,40000,40000,1,0,https://www.yourator.co/companies/OakMega/jobs/43691,,"這個職缺適合具備
2+ 年技術或顧問背景
的人才，既能與客戶溝通，也能親手落地技術方案。FDE 代表
OakMega
第一線面對客戶，從
方案設計、Demo、PoC，到技術落地與客戶協作
全程參與。你將協助企業導入
OakMega Oakxgen AI，
打造安全、有效且符合需求的自動化工作流程 (AI Workflow)，確保技術方案順利落地。
你具體的工作內容會有：
方案設計與需求評估
與 Sales 協作，參與客戶拜訪與需求討論
針對 AI Solution 提供技術諮詢，評估可行性、整合複雜度與風險
協助 Demo 與 PoC，展示可落地的 AI 解決方案
技術落地與 Workflow 實作
運用 OakMega Oakxgen AI 協助企業規劃與實作自動化流程
與工程團隊協作，確保技術方案按質落地
協助客戶內部工程或 IT 系統整合，確保流程穩定運行
支援客戶與內部團隊的技術溝通，解決落地過程中的問題
技術顧問與關係維護
向客戶解釋 AI 解決方案與限制，協助落地策略制定
向內部產品與工程團隊回饋客戶使用場景與需求
維護既有客戶關係，提供持續技術支援"
Yourator,46504,後端工程師,Golang 工程師 (台中),摩維科技-Moway Technology,40000,40000,1,1,https://www.yourator.co/companies/mowaytech/jobs/46504,Golang,"1.高效能系統設計與開發
：
大型網路平台的核心功能建構。運用 Go 語言的優勢，打造高穩定、可擴展且易於維護的後端服務，確保系統在面對高頻存取時依然能運作自如。
2.API 架構維護
：
負責高效能 API的規劃與迭代，透過持續的維護與優化，提供前端夥伴最堅實的支撐。
3.跨團隊技術協作與專案推進
：
深度參與專案從 0 到 1 的生命週期。與產品、前端及運維團隊展開技術對話，在討論中尋求效能與開發速度的最佳平衡點。
4.技術文件建置
：
負責架構與開發流程的文件化，透過完整的文件撰寫，讓團隊知識得以傳承，並降低溝通成本。"
Yourator,46293,工程師,Kubernetes (K8s) 開發工程師,普安科技股份有限公司,40000,40000,1,0,https://www.yourator.co/companies/infortrend/jobs/46293,"CI/CD,Kubernetes","您將負責 K8s 基礎架構的建立與維護。這個職位不僅是管理集群，更包含後端開發與系統監控，目標是打造一個自動化且可靠的雲原生平台。
核心工作
平台維運與開發： 構建、部署並管理 K8s 集群及其周邊技術。
系統改進： 持續改進 K8s 架構，並解決開發過程中遇到的系統問題。
自動化整合： 參與制定 CI/CD 流程，並進行後端軟體開發與監控分析。"
Yourator,41569,工程師,[SO] 維運系統工程師,動力安全資訊股份有限公司 Dynasafe,40000,40000,1,0,https://www.yourator.co/companies/dynasafe/jobs/41569,"Linux,TCP/IP","1. 處理系統領域相關之技術問題，並提供客戶售前售後技術支援服務
2. 具備專業文件撰寫能力，包含專案驗收報告、招標規範、功能測試報告或技術展示簡報
3. 產品功能驗證、測試，及建置導入之相關工作
4. 熟Microsoft作業系統，包含安裝、設定、維護、弱點更新及修補
5.對TCP/IP、OSI架構、Linux like、虛擬化技術、實體伺服器有相關基本概念
6.具備專案管理經驗尤佳"
Yourator,43084,App工程師,應用工程師 Field Application Engineer,APMIC,58333,100000,0,3,https://www.yourator.co/companies/APMIC/jobs/43084,OpenAI API,"【我們是誰】
APMIC（Accelerate Private Machine Intelligence Company）成立於 2017 年，是台灣深耕大型語言模型（LLM）與企業私有化 AI 解決方案的先驅。我們專注於自然語言理解（NLU）技術，致力於協助企業無需撰寫程式，即可快速建構專屬的 AI 知識大腦，實現資料的智能應用與安全私有部署。
【這份工作將會做什麼】
作為 APMIC 的 應用工程師 (FAE)，您將不僅是系統的開發者，更是我們 私有化 AI 解決方案的骨幹建構者與現場交付者。您將是連接技術與客戶現場的關鍵橋樑，確保我們的 AI 系統在客戶端穩定、高效運行。 您的工作將橫跨雲端與地端實體環境，直接參與從系統維護、客戶現場部署到後期支援的全過程。您將親臨現場，解決獨特的技術挑戰，包含硬體整合、模型安裝與現場故障排除，親手將我們的 AI 能力，安全、可靠地交付到客戶手中，實現技術的最終價值。
【職責】
現場部署與支援： 參與客戶端的 AI 模型與系統部署流程，包含硬體整合、系統安裝與配置，執行初步的現場故障排查 (Troubleshooting)，確保專案成功落地。
跨團隊協作： 與產品 / RD 團隊配合，處理實體環境的網路配置與部署架構。與業務、產品團隊緊密合作，確保技術實作與客戶需求一致，高效推進專案進度。"
Yourator,42262,工程師,PA0479 感測器融合工程師,仁寶電腦工業股份有限公司,40000,40000,1,3,https://www.yourator.co/companies/compal/jobs/42262,,"工作職責
•        設計並開發Radar物件偵測演算法。
•        設計並開發 Radar 與 Camera 融合的物件偵測演算法。
•        與其他團隊合作，確定資料相關需求，並確保演算法能在嵌入式平台上即時運行。"
